latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.1733,40.268,300.1,4.3,1.9,2012-01-03,1118,Aqua,MODIS,27,6.2,287.2,32,D,0
36.9382,40.1987,305.2,1,1,2012-01-04,1023,Aqua,MODIS,61,6.2,289.5,6.5,D,0
37.0143,40.2687,304,1,1,2012-01-04,1023,Aqua,MODIS,58,6.2,290,5.8,D,0
37.1494,39.7762,306,1.1,1,2012-01-04,1023,Aqua,MODIS,63,6.2,291.2,6.9,D,0
37.0012,40.3023,300.7,1,1,2012-01-04,1023,Aqua,MODIS,30,6.2,290.3,3.5,D,0
37.1201,40.2371,302.7,1,1,2012-01-04,1023,Aqua,MODIS,53,6.2,290,4.6,D,0
37.1183,40.2256,305.4,1,1,2012-01-04,1023,Aqua,MODIS,61,6.2,290.7,6.4,D,0
37.1398,40.3629,330.9,1,1,2012-01-04,1023,Aqua,MODIS,87,6.2,293.1,29.7,D,0
37.1579,40.1799,308.1,1,1,2012-01-04,1023,Aqua,MODIS,55,6.2,291.1,7.5,D,0
37.138,40.3515,316.2,1,1,2012-01-04,1023,Aqua,MODIS,76,6.2,291.7,13,D,0
37.1488,40.3607,347.1,1,1,2012-01-04,1023,Aqua,MODIS,95,6.2,293.5,56.7,D,0
37.0431,40.3329,307.2,1,1,2012-01-04,1023,Aqua,MODIS,65,6.2,290.9,7.1,D,0
37.1489,40.1821,309.3,1,1,2012-01-04,1023,Aqua,MODIS,67,6.2,289.1,8.6,D,0
37.1419,40.7324,304.3,1,1,2012-01-04,1023,Aqua,MODIS,40,6.2,290.2,4.4,D,0
37.1212,40.597,309.4,1,1,2012-01-04,1023,Aqua,MODIS,69,6.2,292.5,8,D,0
37.1123,40.5992,310.5,1,1,2012-01-04,1023,Aqua,MODIS,70,6.2,292.2,8.8,D,0
37.1686,40.3084,306.9,1,1,2012-01-04,1023,Aqua,MODIS,64,6.2,290.9,6.6,D,0
37.1329,40.7346,306.7,1,1,2012-01-04,1023,Aqua,MODIS,64,6.2,292.3,6.3,D,0
37.1345,40.1498,301.6,1,1,2012-01-04,1023,Aqua,MODIS,48,6.2,291.1,4.2,D,0
36.9363,40.1872,325.2,1,1,2012-01-04,1023,Aqua,MODIS,84,6.2,291.9,24.4,D,0
37.1968,40.4907,301.6,1,1,2012-01-04,1023,Aqua,MODIS,48,6.2,291,3.6,D,0
37.1468,40.4676,305,1,1,2012-01-04,1023,Aqua,MODIS,60,6.2,292.5,5.6,D,0
37.1346,40.7458,308.5,1,1,2012-01-04,1023,Aqua,MODIS,67,6.2,291.1,7.4,D,0
